Ply,Mate,FEN
4,M1,rnbqkbnr/ppppp1pp/5p2/7Q/8/4P3/PPPP1PPP/RNB1KBNR b KQkq -
4,M1,rnbqkbnr/ppp1pppp/3p4/1B6/8/4P3/PPPP1PPP/RNBQK1NR b KQkq -
4,M1,rnbqkbnr/ppppp1pp/8/5p1Q/8/4P3/PPPP1PPP/RNB1KBNR b KQkq -
4,M1,rnbqkbnr/ppp1pppp/8/1B1p4/8/4P3/PPPP1PPP/RNBQK1NR b KQkq -
4,M1,rnbqkbnr/ppp1pppp/3p4/8/Q7/2P5/PP1PPPPP/RNB1KBNR b KQkq -
4,M1,rnbqkbnr/ppp1pppp/8/3p4/Q7/2P5/PP1PPPPP/RNB1KBNR b KQkq -
4,M1,rnbqkbnr/ppppp1pp/5p2/7Q/4P3/8/PPPP1PPP/RNB1KBNR b KQkq -
4,M1,rnbqkbnr/ppp1pppp/3p4/1B6/4P3/8/PPPP1PPP/RNBQK1NR b KQkq -
4,M1,rnbqkbnr/ppppp1pp/8/5p1Q/4P3/8/PPPP1PPP/RNB1KBNR b KQkq -
4,M1,rnbqkbnr/ppp1pppp/8/1B1p4/4P3/8/PPPP1PPP/RNBQK1NR b KQkq -
4,M1,rnbqkbnr/ppp1pppp/3p4/8/Q1P5/8/PP1PPPPP/RNB1KBNR b KQkq -
4,M1,rnbqkbnr/ppp1pppp/8/3p4/Q1P5/8/PP1PPPPP/RNB1KBNR b KQkq -
4,M1,rnb1kbnr/pppp1ppp/4p3/8/7q/5P1N/PPPPP1PP/RNBQKB1R w KQkq -
4,M1,rnbqk1nr/pppp1ppp/4p3/8/1b6/3P3N/PPP1PPPP/RNBQKB1R w KQkq -
4,M1,rnb1kbnr/pppp1ppp/4p3/8/5P1q/7N/PPPPP1PP/RNBQKB1R w KQkq -
4,M1,rnbqk1nr/pppp1ppp/4p3/8/1b1P4/7N/PPP1PPPP/RNBQKB1R w KQkq -
4,M1,rnb1kbnr/pp1ppppp/2p5/q7/8/3P3N/PPP1PPPP/RNBQKB1R w KQkq -
4,M1,rnb1kbnr/pp1ppppp/2p5/q7/3P4/7N/PPP1PPPP/RNBQKB1R w KQkq -
